TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ACMSD|130013	1.2293	0	0	15.2381	1.8293	0	0	0	0	0
ACN9|57001	303.636	317.87	612.559	570.952	259.756	589.589052115174	276.85649629843	339.872017321749	990.570983307495	451.325731147797
ACO1|48	997.572	1585.42	567.388	748.095	646.951	560.90444860636	572.907185722528	548.690465734003	722.765729429481	334.130402110794
ACO2|50	6210.3	2535.13	2772.75	3511.53	2388.2	3024.45694008034	3773.57401097949	3156.0467635003	2761.81795221161	2585.74481933041
ACOT11|26027	129.844	144.314	31.2401	11.4286	120.122	178.200611715781	175.91078335003	126.078600603482	60.7778949864672	126.192296456315
ACOT12|134526	1.2293	11.2123	0.4222	3.8095	0.6098	0	0	0	0	0
ACOT13|55856	583.687	793.463	614.991	459.957	1070.93	1054.49441963827	1176.34183804979	966.656573925398	916.895047565189	922.135006948701
ACOT1|641371	154.276	201.261	224.591	153.81	297.561	70.7042721559869	73.5890524713704	197.558026672402	82.4229971522153	148.773628551579
ACOT2|10965	134.608	163.139	168.021	150	206.098	170.978119153533	213.70187195695	430.79340305561	248.027034213945	23.3525436338805
ACOT4|122970	28.2738	22.4247	29.5515	15.7143	89.6341	140.254380607207	38.3494224638222	141.716895657766	113.62865047439	69.0870029457163
ACOT6|641372	1.8439	2.2425	0.8443	0.9524	10.9756	1.97967176166181	3.22654860929923	5.14798519077134	5.26479759982831	1.735357088042
ACOT7|11332	616.491	1645.97	2160.21	596.191	874.39	1120.58948295046	519.045012975536	576.809357565595	1132.18371639483	1443.6598315304
ACOT8|10005	333.876	596.922	406.012	346.419	594.317	1039.90098314889	545.695092679101	357.461643920392	1729.275853083	465.040827428885
ACOT9|23597	551.953	1369.59	168.443	472.381	808.537	624.54121362091	365.068991187925	381.180576888783	548.861624573752	386.419173903873
ACOX1|51	3476.2	945.200000000001	1166.02	1837.14	1402.47	1294.47975315652	1242.30861907426	1623.52299264543	1365.09313092959	1580.3063267759
ACOX2|8309	132.149	130.063	24.9077	146.19	239.634	59.2359114871348	136.91464510315	145.273054423451	39.2491946962489	39.4530643212204
ACOX3|8310	371.861	358.795	364.749	370.476	308.537	119.1364260623	250.147629906114	111.417115497958	561.329053261392	258.13287286433
ACOXL|55289	1.2293	1.1212	0	0.9524	0.6098	2.29327103678907	8.26460549064892	16.0644627184209	4.37743912951345	3.47774594035724
